nom_departement,zone,date_debut,date_fin,controles,verbalisations,lien,jours
Ain,ZP,2020-03-17,2020-04-03,NA,1100,https://www.leprogres.fr/ain/2020/04/03/confinement-jour-18-105-patients-hospitalises-14-deces-dans-le-departement,18
Aisne,Toutes,2020-03-18,2020-04-08,70000,5000,https://www.lunion.fr/id144371/article/2020-04-09/confinement-un-renforcement-des-controles-dans-laisne-ce-week-end,22
Aisne,Toutes,2020-03-18,2020-04-14,90000,6000,https://webcache.googleusercontent.com/search?q=cache:K5GTNvFzDr8J:https://premium.courrier-picard.fr/id81162/article/2020-04-15/le-prefet-de-laisne-adoucit-le-confinement+&cd=17&hl=fr&ct=clnk&gl=fr&client=firefox-b-d,28
Aisne,Toutes,2020-03-18,2020-04-02,45000,NA,https://france3-regions.francetvinfo.fr/hauts-de-france/coronavirus-pres-7700-infractions-au-confinement-relevees-oise-somme-1810822.html,16
Alpes-de-Haute-Provence,Toutes,2020-03-18,2020-05-05,NA,2460,https://www.alpes-de-haute-provence.gouv.fr/Actualites/COVID-19-Point-sur-la-situation-dans-les-Alpes-de-Haute-Provence/Covid-19-controle-du-respect-des-consignes-de-restriction-de-circulation,49
Alpes-Maritimes,Toutes,2020-03-18,2020-05-10,NA,24164,https://www.francebleu.fr/infos/faits-divers-justice/pres-de-25-000-verbalisations-pour-non-respect-du-confinement-dans-les-alpes-maritimes-1589140150,54
Ardennes,Toutes,2020-03-18,2020-04-24,35000,2700,https://www.radio8fm.com/infos/article/14103-Ardennes_35_000_controles_2700_verbalisations_en_lien_avec_le_Covid_19,38
Ardèche,Toutes,2020-03-18,2020-05-05,110470,NA,https://france3-regions.francetvinfo.fr/auvergne-rhone-alpes/ardeche/coronavirus-comment-ardeche-se-prepare-au-deconfinement-1824692.html,49
Ariège,Toutes,2020-03-18,2020-04-02,54000,NA,https://gazette-ariegeoise.fr/plus-de-54-000-controles-debut-confinement-ariege/,16
Bas-Rhin,Toutes,2020-03-18,2020-03-22,25000,1176,NA,5
Bouches-du-Rhône,Toutes,2020-03-18,2020-04-10,200000,20000,https://webcache.googleusercontent.com/search?q=cache:PwbMLZxQhCkJ:https://www.laprovence.com/article/edition-marseille/5958375/la-barre-des-20-000-pv-franchie.html+&cd=1&hl=fr&ct=clnk&gl=fr&client=firefox-b-d,24
Charente-Maritime,Toutes,2020-03-18,2020-04-20,170000,7000,https://www.le-littoral.com/actualite/departement/controles-le-meme-niveau-dengagement-depuis-un-mois/,34
Charente-Maritime,Toutes,2020-03-18,2020-05-05,265000,10125,https://actu.fr/nouvelle-aquitaine/saint-pierre-d-oleron_17385/le-prefet-charente-maritime-dit-non-la-reouverture-plages-saint-pierre-doleron_33443759.html,49
