code,pop_adulte,pop_totale
01,528411,657856
02,431728,529374
03,285728,335628
04,139754,165451
05,118744,140605
06,925569,1097410
07,275785,329325
08,222569,269701
09,130458,153954
10,255060,311435
11,315752,375217
12,237986,279554
13,1690250,2048070
14,579530,697547
15,124163,144379
16,297091,351718
17,559583,655709
18,253783,300933
19,204558,239190
2A,135519,160814
2B,155624,182887
21,448995,535078
22,504330,603640
23,100615,115995
24,355038,412807
25,445558,545209
26,424942,517709
27,483987,599668
28,348980,431443
29,769680,917179
30,624819,751457
31,1169166,1415757
32,163477,191819
33,1360943,1636391
34,990885,1188973
35,888386,1088855
36,186744,218707
37,509039,612119
38,1037715,1277513
39,215774,258798
40,352887,418122
41,274006,329357
42,630378,768508
43,190224,227489
44,1176483,1445171
45,554112,682304
46,150295,174670
47,278318,330844
48,64731,76633
49,670081,820713
50,414684,495093
51,466852,566659
52,145157,171798
53,249679,306538
54,609940,732590
55,152766,183001
56,639182,764161
57,874265,1049155
58,174237,202670
59,2107069,2607746
60,664589,829699
61,233712,278475
62,1185319,1462167
63,554634,661852
64,581350,687240
65,196797,229788
66,404900,482765
67,955613,1148073
68,634587,767842
69,1530727,1883437
70,194341,234601
71,462901,551063
72,465515,566993
73,363640,439750
74,676676,835206
75,1852066,2145906
76,1030237,1254739
77,1134169,1428636
78,1158015,1449723
79,310157,374481
80,470612,568748
81,328223,391066
82,214559,262316
83,918147,1085189
84,461924,561941
85,574053,692705
86,366366,439332
87,315199,372123
88,304715,362397
89,277518,334156
90,115556,140120
91,1037966,1306118
92,1321024,1626213
93,1284295,1655422
94,1135780,1407972
95,979573,1251804
971,316239,383559
972,303928,361225
973,193520,285133
974,671681,863083
976,157271,279696
